Unit,Unit Type,SqFt,Renewal/Trade Out ,Lease Start Dates,Market Rent at Lease Execution,Prior Rent LER,New LER,Prior Rent LER SqFt,$/mo,Renewed LER SqFt,$ psf/mo,
1415,A1CC0E71,779,New,3/9/2026,"$1,882.00","$1,865.00","$1,590.00", $2.39 , $(275.00), $2.04 , $(0.35),
1413,B2FC0E71,1137,New,3/11/2026,"$2,297.00","$2,000.00","$1,940.00", $1.76 , $(60.00), $1.71 , $(0.05),
2320,B2DC0E71,1109,New,3/20/2026,"$2,277.00","$1,720.00","$1,865.00", $1.55 , $145.00 , $1.68 , $0.13 ,
1121,A1FC0E71,870,Renewal,3/22/2026,"$1,934.00","$1,615.00","$1,615.00", $1.86 , $-   , $1.86 , $-   ,
1204,B2IC0E71,1207,New,3/21/2026,"$2,402.00","$1,990.00","$1,925.00", $1.65 , $(65.00), $1.59 , $(0.05),
1417,A1GC0E71,1137,Renewal,3/24/2026,"$2,057.00","$1,895.00","$1,895.00", $1.67 , $-   , $1.67 , $-   ,
2406,B2CC0E71,1093,New,3/27/2026,"$2,232.00","$1,795.00","$1,880.00", $1.64 , $85.00 , $1.72 , $0.08 ,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
