[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
2423 M L KING JR DR NW,2423 M L KING JR DR NW,Atlanta,,183,
2430 CHESHIRE BRIDGE RD,2430 CHESHIRE BRIDGE RD,Atlanta,,164,
2450 CAMELLIA LN NE,2450 CAMELLIA LN NE,Atlanta,,352,
2451 OLD NATIONAL PKWY,2451 OLD NATIONAL PKWY,Atlanta,,138,
2453 CORONET WAY NW,2453 CORONET WAY NW,Atlanta,,172,
2460 PEACHTREE RD NW,2460 PEACHTREE RD NW,Atlanta,,236,
2470 CHESHIRE BRIDGE RD,2470 CHESHIRE BRIDGE RD,Atlanta,,282,
2471 OLD NATIONAL PL,2471 OLD NATIONAL PL,Atlanta,,104,
2476 ADINA DR NE,2476 ADINA DR NE,Atlanta,,358,
2479 ABNER TER NW,2479 ABNER TER NW,Atlanta,,163,
250 TENTH ST NE,250 TENTH ST NE,Atlanta,,188,
2500 PINETREE RD NE,2500 PINETREE RD NE,Atlanta,,303,
251 ANDERSON AVE NW,251 ANDERSON AVE NW,Atlanta,,116,
251 NORTH AVE,251 NORTH AVE,Atlanta,,192,
2524 M L KING JR DR SW,2524 M L KING JR DR SW,Atlanta,,156,
255 COURTLAND ST NE,255 COURTLAND ST NE,Atlanta,,1224,
2560 HOLCOMB BRIDGE RD,2560 HOLCOMB BRIDGE RD,Atlanta,,110,
2572 LENOX RD NE,2572 LENOX RD NE,Atlanta,,112,
259 RICHARDSON ST SW,259 RICHARDSON ST SW,Atlanta,,111,
2591 ETHERIDGE DR NW,2591 ETHERIDGE DR NW,Atlanta,,164,
[3/13/2026 8:23 AM] Leon AI Assistant: 2591 PIEDMONT RD NE,2591 PIEDMONT RD NE,Atlanta,,314,
2595 HOLCOMB BRIDGE RD,2595 HOLCOMB BRIDGE RD,Atlanta,,200,
2595 HOLCOMB BRIDGE RD REAR,2595 HOLCOMB BRIDGE RD REAR,Atlanta,,226,
2600 HOLCOMB BRIDGE RD,2600 HOLCOMB BRIDGE RD,Atlanta,,335,
2600 MILL CREEK AVE,2600 MILL CREEK AVE,Atlanta,,461,
2601 ROOSEVELT HWY,2601 ROOSEVELT HWY,Atlanta,,120,
2609 CHARLESTON DR,2609 CHARLESTON DR,Atlanta,,220,
2611 SPRINGDALE RD SW,2611 SPRINGDALE RD SW,Atlanta,,240,
262 BUCKHEAD AVE NE PM,262 BUCKHEAD AVE NE PM,Atlanta,,370,
2637 OLD HAPEVILLE RD SW,2637 OLD HAPEVILLE RD SW,Atlanta,,194,
264 NORTH AVE NW,264 NORTH AVE NW,Atlanta,,106,
2645 WHITING ST NW,2645 WHITING ST NW,Atlanta,,100,
265 PEACHTREE ST NE,265 PEACHTREE ST NE,Atlanta,,1264,
265 PONCE DE LEON AVE NE,265 PONCE DE LEON AVE NE,Atlanta,,169,
267 MARIETTA ST,267 MARIETTA ST,Atlanta,,321,
270 SEVENTEENTH ST NW UNIT 1602,270 SEVENTEENTH ST NW UNIT 1602,Atlanta,,229,
270 SEVENTEENTH ST NW UNIT 1909,270 SEVENTEENTH ST NW UNIT 1909,Atlanta,,229,
2700 CAMP CREEK PKWY,2700 CAMP CREEK PKWY,Atlanta,,128,
2727 GODBY RD,2727 GODBY RD,Atlanta,,134,
2740 OLD MILTON PKWY,2740 OLD MILTON PKWY,Atlanta,,250,
2745 HOLCOMB BRIDGE RD,2745 HOLCOMB BRIDGE RD,Atlanta,,304,
2745 OLD HAPEVILLE RD SW,2745 OLD HAPEVILLE RD SW,Atlanta,,100,
2748 DONALD LEE HOLLOWELL PKWY NW,2748 DONALD LEE HOLLOWELL PKWY NW,Atlanta,,136,
275 BAKER ST NW,275 BAKER ST NW,Atlanta,,320,
275 MEMORIAL DR SE,275 MEMORIAL DR SE,Atlanta,,132,
2786 OLD HAPEVILLE RD SW,2786 OLD HAPEVILLE RD SW,Atlanta,,144,
2788 DEFOORS FERRY RD NW,2788 DEFOORS FERRY RD NW,Atlanta,,124,
2788 FORREST HILLS DR NW,2788 FORREST HILLS DR NW,Atlanta,,120,
2798 PEEK RD NW,2798 PEEK RD NW,Atlanta,,176,
2800 CAMP CREEK PKWY,2800 CAMP CREEK PKWY,Atlanta,,175,
2800 M L KING JR DR SW,2800 M L KING JR DR SW,Atlanta,,171,
2801 FELTON DR,2801 FELTON DR,Atlanta,,116,
2835 HOLCOMB BRIDGE RD,2835 HOLCOMB BRIDGE RD,Atlanta,,360,
2840 NORMAN BERRY DR,2840 NORMAN BERRY DR,Atlanta,,119,
2850 SPRINGDALE RD SW,2850 SPRINGDALE RD SW,Atlanta,,109,
2891 SPRINGDALE RD SW,2891 SPRINGDALE RD SW,Atlanta,,109,
290 M L KING JR DR SE,290 M L KING JR DR SE,Atlanta,,324,
2900 CAMP CREEK PKWY,2900 CAMP CREEK PKWY,Atlanta,,312,
2900 LANDRUM DR SW,2900 LANDRUM DR SW,Atlanta,,264,
2900 LAUREL RIDGE WAY,2900 LAUREL RIDGE WAY,Atlanta,,276,
2900 PHARR COURT SOUTH NW,2900 PHARR COURT SOUTH NW,Atlanta,,224,
2909 CAMPBELLTON RD SW,2909 CAMPBELLTON RD SW,Atlanta,,376,
2911 PHARR COURT SOUTH NW,2911 PHARR COURT SOUTH NW,Atlanta,,342,
2915 WEBB RD,2915 WEBB RD,Atlanta,,753,
2920 PHARR COURT SOUTH NW,2920 PHARR COURT SOUTH NW,Atlanta,,220,
2944 LANDRUM DR SW,2944 LANDRUM DR SW,Atlanta,,222,
295 BELLE ISLE RD,295 BELLE ISLE RD,Atlanta,,124,
295 CROSSVILLE RD,295 CROSSVILLE RD,Atlanta,,130,
295 PENELOPE DR NW,295 PENELOPE DR NW,Atlanta,,124,
2950 SPRINGDALE RD SW,2950 SPRINGDALE RD SW,Atlanta,,100,
2951 MACON DR SW,2951 MACON DR SW,Atlanta,,238,
2960 PIEDMONT RD NE,2960 PIEDMONT RD NE,Atlanta,,136,
2965 PEACHTREE RD NE,2965 PEACHTREE RD NE,Atlanta,,151,
2970 LAKEWOOD AVE,2970 LAKEWOOD AVE,Atlanta,,541,
2975 CONTINENTAL COLONY PKWY SW,2975 CONTINENTAL COLONY PKWY SW,Atlanta,,216,
2999 CONTINENTAL COLONY PKWY SW,2999 CONTINENTAL COLONY PKWY SW,Atlanta,,120,
300 BOULEVARD NE,300 BOULEVARD NE,Atlanta,,425,
300 CARPENTER DR,300 CARPENTER DR,Atlanta,,102,
300 LUCKIE ST NW,300 LUCKIE ST NW,Atlanta,,175,
300 M L KING JR DR SE,300 M L KING JR DR SE,Atlanta,,171,
300 SPRING ST NW,300 SPRING ST NW,Atlanta,,254,
3000 CONTINENTAL COLONY PKWY SW,3000 CONTINENTAL COLONY PKWY SW,Atlanta,,209,
3000 FORREST WALK,3000 FORREST WALK,Atlanta,,320,
3000 STONE HOGAN RD # CONN,3000 STONE HOGAN RD # CONN,Atlanta,,174,
3005 PEACHTREE RD NE,3005 PEACHTREE RD NE,Atlanta,,399,
AMLI 8th,800 8th St NW,Atlanta,Midtown,375,2017
Alexan Lenox,3610 Camp Creek Pkwy SW,Atlanta,Camp Creek,280,2019
Alta Druid Hills,1680 Briarcliff Rd NE,Atlanta,Druid Hills,260,2020
Altitude Westside,1195 Hemphill Ave NW,Atlanta,Westside,240,2022
[3/13/2026 8:23 AM] Leon AI Assistant: Arium Vinings,2802 Paces Ferry Rd SE,Atlanta,Cumberland/Galleria,320,2016
Broadstone Tyvola,1900 Summit Blvd NE,Atlanta,Brookhaven,295,2021
Broadstone at Vinings,2625 Cumberland Pkwy SE,Atlanta,Cumberland/Galleria,340,2019
Camden Atlantic Station,280 18th St NW,Atlanta,Atlantic Station,354,2006
Cortland Perimeter,4795 Ashford Dunwoody Rd,Dunwoody,Perimeter,340,2020
Halcyon House,155 Luckie St NW,Atlanta,Downtown,390,2023
Hanover West Midtown,1045 Howell Mill Rd NW,Atlanta,Westside,325,2019
Heights at Lenox,3605 Buford Hwy NE,Atlanta,Lenox,290,2019
Lakeshore Crossing,100 Lakeshore Dr NE,Atlanta,,1,
MAA Reserve,1776 Briarcliff Rd NE,Atlanta,Virginia-Highland,260,2011
MAA Virginia Highland,1010 Virginia Ave NE,Atlanta,Virginia-Highland,224,2012
Novel Harpeth Heights,5240 Roswell Rd NE,Sandy Springs,Sandy Springs,277,2022
Park Twelve,1235 Peachtree St NE,Atlanta,Midtown,230,2015
Peachtree Creek,3116 Peachtree Rd NW,Atlanta,Buckhead,405,2023
Post Riverside,1100 Huff Rd NW,Atlanta,Westside,340,2007
Premiere on Pine,659 Auburn Ave NE,Atlanta,Old Fourth Ward,350,2017
Signal Oakhurst,307 Oakhurst Rd,Decatur,Decatur,267,2020
Skyhouse Midtown,90 12th St NE,Atlanta,Midtown,320,2012
Solis City Park,300 Joseph E Lowery Blvd NW,Atlanta,Downtown,294,2021
Solis at Decatur,511 Commerce Dr,Decatur,Decatur,298,2020
Stillhouse Vinings,3158 Stillhouse Creek Dr,Atlanta,,1,
The Boro - Kings,3443 Kingsboro Rd NE,Atlanta,,1,
The Boro - Phipps,3460 Kingsboro Rd NE,Atlanta,,1,
The Drexel,2890 N Druid Hills Rd NE,Atlanta,Druid Hills,255,2022
The Drexel Collective,100 Drexel Pt,Atlanta,,1,
The Dylan,311 Edgewood Ave SE,Atlanta,Edgewood,280,2022
The Emerson,120 Ralph McGill Blvd NE,Atlanta,Midtown,340,2021
The Paxton,1085 Peachtree St NE,Atlanta,Midtown,330,2018
Twelve24,1224 North Ave NE,Atlanta,Virginia-Highland,238,2020
Vue at Buckhead,3330 Piedmont Rd NE,Atlanta,Buckhead,360,2017
