[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
11042 ALPHARETTA HWY,11042 ALPHARETTA HWY,Atlanta,,300,
1105 WEST PEACHTREE ST NE,1105 WEST PEACHTREE ST NE,Atlanta,,178,
1109 GREEN ST,1109 GREEN ST,Atlanta,,269,
111 CONE ST NW,111 CONE ST NW,Atlanta,,173,
111 GLENRIDGE POINT PKWY,111 GLENRIDGE POINT PKWY,Atlanta,,180,
111 JOHN WESLEY DOBBS,111 JOHN WESLEY DOBBS,Atlanta,,247,
1111 OAKLEY INDUSTRIAL BLVD,1111 OAKLEY INDUSTRIAL BLVD,Atlanta,,308,
11130 MEDLOCK BRIDGE RD,11130 MEDLOCK BRIDGE RD,Atlanta,,210,
1115 HOWELL MILL RD NW,1115 HOWELL MILL RD NW,Atlanta,,161,
1115 SPRINGWOOD CONN,1115 SPRINGWOOD CONN,Atlanta,,425,
11190 MEDLOCK BRIDGE RD,11190 MEDLOCK BRIDGE RD,Atlanta,,126,
112 COURTLAND ST NE,112 COURTLAND ST NE,Atlanta,,254,
11201 STATE BRIDGE RD,11201 STATE BRIDGE RD,Atlanta,,227,
1125 HAMMOND DR,1125 HAMMOND DR,Atlanta,,341,
1125 PONCE DE LEON AVE NE,1125 PONCE DE LEON AVE NE,Atlanta,,100,
11251 STATE HIGHWAY 9,11251 STATE HIGHWAY 9,Atlanta,,236,
1130 HAMMOND DR,1130 HAMMOND DR,Atlanta,,384,
1132 TECHWOOD DR NW,1132 TECHWOOD DR NW,Atlanta,,168,
1133 HUFF RD NW,1133 HUFF RD NW,Atlanta,,340,
1140 SPRING ST,1140 SPRING ST,Atlanta,,340,
1145 BRIARCLIFF CT NE,1145 BRIARCLIFF CT NE,Atlanta,,145,
1145 HAMMOND DR,1145 HAMMOND DR,Atlanta,,116,
11450 MORRIS RD,11450 MORRIS RD,Atlanta,,142,
115 HILLIARD ST SE,115 HILLIARD ST SE,Atlanta,,124,
1150 ASTOR AVE SW,1150 ASTOR AVE SW,Atlanta,,192,
1150 OLD ELLIS RD,1150 OLD ELLIS RD,Atlanta,,570,
11500 DAVIS DR,11500 DAVIS DR,Atlanta,,747,
11505 MEDLOCK BRIDGE RD,11505 MEDLOCK BRIDGE RD,Atlanta,,124,
1155 LA VISTA RD NE,1155 LA VISTA RD NE,Atlanta,,283,
116 JUNIPER ST,116 JUNIPER ST,Atlanta,,146,
1160 HAMMOND DR,1160 HAMMOND DR,Atlanta,,345,
