ParcelId,Address,City,State,ZIP,County,MSA,Submarket,YearBuilt,YearRenovated,AssetClass,Stories,ConstructionType,PropertyType,UnitCount,AvgUnitSqft,NetRentableSqft,ParkingType,ParkingRatio,LotSizeAcres,ManagementCompany,Notes,DataConfidence,SourceFiles
Harbor at Westshore,2021 Harbour at Westshore Rentable Items Summary,Tampa,FL,,,"Tampa-St. Petersburg-Clearwater, FL",,2002,,,,,,2021,,,garage,,,,,medium,02.14.2021 Harbour at Westshore Rentable Items Summary.pdf; 02.21.2021 Box Score.pdf; 02.21.2021 Demographics Report.xlsx; 02.21.2021 Rent Roll with Lease Charges.xlsx; 02.21.21 Harbour at Westshore WUTA.xlsx
Hardy Oak,,San Antonio,TX,,,"San Antonio-New Braunfels, TX",,,,,,,,,,,,,,,,medium,Hardy Oak.xlsx
Hawthorne at Clairmont,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Mixed,,,,,Mixed,,,Fee Gro,,medium,20200130132208_APINVExport - Reno Comps .xls; 20200206095801_APINVExport - 3% increase .xls; 20200206100205_APINVExport - Reno Comps Final .xls; Historical_20200131135815 - Hawthorne at Clairmont .xls
Heights at Sugarloaf,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Heights at Sugarloaf Expense Comp 9-17-20.pdf
Heron Pointe,12 March 2018- techno,Atlanta,GA,FL,,"Atlanta-Sandy Springs-Roswell, GA",,2000,,,,,,2018,,,,,,Fee Payro,,medium,2018_1Q_West Palm Beach_Performance Summary.pdf; 5yrs Forecast .xls; Florida-2 Portfolio OM - Final.pdf; Heron Pointe - T-12 March 2018- techno.xls; Heron Pointe - T-12 March 2018.xlsx
Highlands at Preston,,Dallas,TX,,,"Dallas-Fort Worth-Arlington, TX",,2001,,,6350,,,6361,,,Covered,,,Fe,,high,HOP - Combined financials techno.xls
Highlnad Ridge Apartments,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Highland Ridge Other Income Real.xlsx
Hoover Two Pack,,Hoover,AL,,,"Birmingham-Hoover, AL",,,,,,Concrete,,,,,Garage,,,Fe,,medium,Historical_20191022133149 - The Park at Deerfield .xls
Hudson Commons,,,,,,,,,,,,,,,,,,,,,,none,
Hudson Northridge,,,,,,,,,,,,,,,,,,,,,,none,
Hunter Pointe,22 Rent+Roll+Detail+-+Excel (8),Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,216,,,,,,Fee Capit,,medium,7.5.22 Rent+Roll+Detail+-+Excel (8).xls; Copy of 7.5.22 Rent+Roll+Detail+-+Excel (8) - TS.xls; Copy of RR - Trails at Hunter Pointe 5.24.22.xls; Copy of Trails - Rent Roll (2023.08.15) - modified .xls; Copy of Trails - Rent Roll (2023.08.15).xls
Indigo Run,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Lively Indigo Run - Box Score (2019.07.01).pdf; Lively Indigo Run - Rent Roll (2019.07.23).pdf; Lively Indigo Run - Rent Roll (2019.07.23).xlsx; Lively Indigo Run - Resident Demographics (2019.06.13).xlsx; Lively Indigo Run - T12 (2019.06).pdf
Infield Orlando,,Orlando,FL,,,"Orlando-Kissimmee-Sanford, FL",,,,,,,,,,,,,,,,medium,Infield - PL (002).pdf; Infield Other income.xlsx; Infield Plan.pdf; Infield Rent Roll.xls
Jade at Hyde Park,22 Rent Roll w Lease Charges- Jade,Tampa,FL,,,"Tampa-St. Petersburg-Clearwater, FL",,,,,,,,,,,,,,,,medium,06.30.22 Rent Roll w Lease Charges- Jade.xlsx; Jade Hyde Park Other Income.xlsx; RentRollwithLeaseCharges03_07_2022 (Updated Unit Types).xlsx
Jade hyde Park,22 Rent Roll w Lease Charges- Jade,Tampa,FL,,,"Tampa-St. Petersburg-Clearwater, FL",,,,,,,,,,,,,,,,medium,06.30.22 Rent Roll w Lease Charges- Jade.xlsx; Berkadia - Jade at North Hyde Park - Offering Memorandum.pdf; Jade at NHP RentRollwithLeaseCharges 04.04.22.xlsx
Jefferson Apartment Building,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Rent Roll Analysis .xls
Jones Grant,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,,,,,,,Fe,,medium,4 The AVR Portfolio - North Carolina.pdf; Axio Report - Raleigh (Q4-17).pdf; Axio Submarket Boundaries - Raleigh.pdf; Copy of Jones Grant Rent Roll 3.8.18 techo.xls; Jones Grant - Rent Roll (2018.01.25) - techno .xls
